Country,Total_Waves,Total_Infected_In_Epidemic_State,Total_Epidemic_Days
Argentina,8,10044945,1094
Serbia,9,2460450,1071
Italy,9,24989989,1066
Luxembourg,15,315985,1059
France,10,40216813,1048
US,10,100865597,1028
United Kingdom,11,24235692,1025
Bolivia,6,1185607,1023
Germany,12,38176054,1012
Austria,11,5906830,1008
Israel,9,4741395,1006
Switzerland,11,4297579,992
Armenia,6,444722,983
Belgium,12,4559821,980
Moldova,9,592512,972
Chile,10,4944224,967
Denmark,10,3404785,941
Brazil,9,33535751,939
Russia,7,21012358,939
Sweden,9,2485681,936
Slovenia,11,1321212,917
Cyprus,14,649165,907
Belize,8,70382,904
Colombia,7,6182697,901
Panama,7,923728,900
Georgia,9,1823279,885
Bosnia and Herzegovina,7,386792,880
Qatar,8,458939,878
Romania,6,3175808,873
Spain,9,13032974,872
Mexico,6,6646239,864
Suriname,8,81698,857
Slovakia,7,2636245,854
Kosovo,7,269498,850
Albania,7,326359,849
Bahrain,10,680414,849
Cabo Verde,8,61321,844
Azerbaijan,7,815749,839
Ireland,11,1610074,839
Lithuania,7,1281786,837
Ukraine,7,5562453,831
Lebanon,9,1204331,823
Japan,7,32151137,820
Canada,7,3919109,818
Montenegro,12,263549,816
Greece,11,5483134,812
Oman,6,394849,810
Estonia,8,602285,808
Malaysia,6,4715635,805
Maldives,11,179313,796
Guatemala,6,1066892,792
Dominican Republic,6,586996,788
Netherlands,10,8171201,787
Croatia,7,1170010,782
North Macedonia,7,331189,780
Norway,8,1441475,768
Latvia,6,946570,761
Paraguay,9,741696,750
Peru,7,3870899,745
Costa Rica,7,978005,738
Bulgaria,6,1234724,737
Iraq,5,2278105,733
Portugal,7,5281735,718
Barbados,10,105630,716
Jordan,6,1717555,708
Belarus,5,854435,700
Iceland,8,204570,696
Eswatini,6,71815,695
Namibia,6,158656,680
Uruguay,6,992173,680
Kuwait,6,513902,676
South Africa,5,3533127,674
Jamaica,5,139796,674
United Arab Emirates,6,797489,669
Iran,5,6515523,664
Morocco,4,1211592,662
Malta,9,106619,659
Guyana,8,59221,645
Hungary,5,1970980,645
West Bank and Gaza,9,667852,644
Finland,10,1282007,639
Botswana,12,308496,639
Kazakhstan,5,1345767,637
Poland,5,5863683,631
Singapore,6,2194079,624
India,3,39610223,624
Mongolia,8,852308,610
Trinidad and Tobago,6,164134,607
Tunisia,6,1017324,607
Libya,6,435606,583
Australia,6,11133246,555
Honduras,6,258636,548
Mauritius,10,278569,507
"Korea, South",4,30228410,498
Gabon,4,31917,484
Nepal,3,788231,464
Zambia,3,299054,459
Thailand,3,4492230,450
Ecuador,6,587425,440
Djibouti,5,14152,433
Fiji,3,66871,422
El Salvador,4,96883,420
Philippines,3,2833107,407
Sao Tome and Principe,6,5186,406
Cuba,4,982840,394
Indonesia,2,4297418,360
Mauritania,3,44443,352
Saudi Arabia,3,546276,342
Grenada,5,18738,341
New Zealand,3,1923945,333
Timor-Leste,3,21594,331
Malawi,2,52085,321
Bangladesh,2,1151138,303
Zimbabwe,3,208922,295
Mozambique,2,154450,292
Tonga,4,16196,272
Equatorial Guinea,4,10519,258
Samoa,3,16230,249
Lesotho,3,26251,222
Bhutan,2,58049,207
Kiribati,5,4923,206
Sri Lanka,2,447173,204
Senegal,1,33009,187
Afghanistan,1,97642,186
Rwanda,2,87591,181
Solomon Islands,4,20604,170
Comoros,2,6298,147
Kenya,1,68240,139
Vanuatu,2,11371,122
Cambodia,1,24727,102
Venezuela,1,75956,94
Angola,1,33234,70
Burundi,1,17123,61
Togo,1,10240,59
Central African Republic,1,4148,40
