Country,Wave_Number,Start_Date,Peak_Date,End_Date,Duration_Days,Peak_IA14,Infected_In_Wave
Afghanistan,1,2021-03-02,2021-06-27,2021-09-04,186,60.33,97642
Albania,1,2020-05-18,2020-08-25,2020-09-07,112,81.46,9309
Albania,2,2020-10-03,2020-12-13,2021-01-05,94,431.98,45658
Albania,3,2021-01-05,2021-02-20,2021-07-03,179,602.74,72903
Albania,4,2021-07-03,2021-09-14,2021-10-19,108,494.94,45662
Albania,5,2021-10-19,2021-11-14,2021-12-27,69,307.62,29521
Albania,6,2021-12-27,2022-01-24,2022-03-27,90,1102.5,65678
Albania,7,2022-05-19,2022-07-26,2022-12-02,197,685.17,57628
Angola,1,2021-12-13,2022-01-07,2022-02-21,70,50.81,33234
Argentina,1,2020-03-09,2020-10-24,2020-12-18,284,435.08,1524360
Argentina,2,2020-12-18,2021-01-19,2021-02-27,71,339.14,574356
Argentina,3,2021-02-27,2021-04-26,2021-05-10,72,721.36,1049012
Argentina,4,2021-05-10,2021-06-02,2021-10-18,161,969.83,2124811
Argentina,5,2021-10-18,2022-01-22,2022-04-24,188,3398.91,3788372
Argentina,6,2022-04-24,2022-06-04,2022-07-07,74,209.95,333403
Argentina,7,2022-07-07,2022-08-06,2022-11-13,129,209.02,325906
Argentina,8,2022-11-13,2023-01-04,2023-03-08,115,294.6,324725
Armenia,1,2020-04-17,2020-07-03,2020-09-07,143,273.77,43624
Armenia,2,2020-09-07,2020-11-07,2021-02-11,157,971.36,123713
Armenia,3,2021-02-11,2021-04-07,2021-06-17,126,435.71,55408
Armenia,4,2021-06-17,2021-11-03,2022-01-12,209,890.84,122320
Armenia,5,2022-01-12,2022-02-11,2022-05-19,127,1334.52,76693
Armenia,6,2022-05-19,2022-09-17,2022-12-26,221,164.44,22964
Australia,1,2021-06-13,2021-10-19,2021-11-23,163,124.31,170403
Australia,2,2021-12-19,2022-01-20,2022-02-24,67,4910.97,2902880
Australia,3,2022-02-24,2022-04-06,2022-05-03,68,3078.91,2906139
Australia,4,2022-05-03,2022-05-21,2022-06-19,47,2664.55,1771001
Australia,5,2022-06-19,2022-07-27,2022-09-25,98,2453.11,2400550
Australia,6,2022-10-27,2022-12-18,2023-02-16,112,863.14,982273
Austria,1,2020-03-07,2020-04-04,2020-06-16,101,94.5,16992
Austria,2,2020-08-07,2020-11-20,2021-01-06,152,1041.75,344404
Austria,3,2021-02-12,2021-04-02,2021-07-06,144,483.28,223020
Austria,4,2021-07-06,2021-09-21,2021-10-08,94,303.52,103840
Austria,5,2021-10-08,2021-11-27,2021-12-30,83,2030.18,514046
Austria,6,2021-12-30,2022-02-11,2022-03-02,62,5159.5,1428353
Austria,7,2022-03-02,2022-03-24,2022-06-05,95,6803.4,1603177
Austria,8,2022-06-05,2022-07-23,2022-09-12,99,1793.25,688991
Austria,9,2022-09-12,2022-10-14,2022-11-19,68,2063.55,539044
Austria,10,2022-11-19,2022-12-20,2023-01-23,65,768.81,244703
Austria,11,2023-01-23,2023-03-06,2023-03-09,45,866.66,200260
Azerbaijan,1,2020-05-01,2020-07-11,2020-08-22,113,75.94,33117
Azerbaijan,2,2020-10-04,2020-12-14,2021-02-16,135,579.05,191636
Azerbaijan,3,2021-02-16,2021-04-16,2021-06-26,130,301.18,103544
Azerbaijan,4,2021-06-26,2021-09-02,2021-10-10,106,505.49,155406
Azerbaijan,5,2021-10-10,2021-11-07,2022-01-13,95,300.74,131734
Azerbaijan,6,2022-01-13,2022-02-15,2022-05-21,128,851.84,169851
Azerbaijan,7,2022-07-09,2022-08-31,2022-11-18,132,69.73,30461
Bahrain,1,2020-02-14,2020-07-04,2020-08-08,176,493.05,43307
Bahrain,2,2020-08-28,2020-09-22,2020-12-01,95,642.97,36200
Bahrain,3,2020-12-01,2021-02-21,2021-03-13,102,687.19,42869
