Country,Wave_Number,Start_Date,Peak_Date,End_Date,Duration_Days,Peak_IA14,Infected_In_Wave
Afghanistan,1,2021-03-20,2021-06-28,2021-09-05,169,61.31,97354
Albania,1,2020-05-18,2020-08-26,2020-09-08,113,79.75,9607
Albania,2,2020-10-04,2020-12-14,2021-01-06,94,424.86,46891
Albania,3,2021-01-06,2021-02-21,2021-07-04,179,593.05,72252
Albania,4,2021-07-04,2021-09-15,2021-10-20,108,486.78,46929
Albania,5,2021-10-20,2021-11-15,2021-12-28,69,302.36,29548
Albania,6,2021-12-28,2022-01-25,2022-03-28,90,1085.03,65723
Albania,7,2022-05-20,2022-07-27,2022-12-02,196,674.21,57649
Algeria,1,2021-10-30,2022-02-03,2022-03-27,148,52.83,59359
Angola,1,2021-12-14,2022-01-08,2022-02-22,70,51.97,33267
Argentina,1,2020-03-16,2020-10-25,2020-12-19,278,435.62,1537124
Argentina,2,2020-12-19,2021-01-20,2021-02-28,71,339.5,575991
Argentina,3,2021-02-28,2021-04-27,2021-05-11,72,722.83,1086900
Argentina,4,2021-05-11,2021-06-03,2021-10-19,161,971.82,2109645
Argentina,5,2021-10-19,2022-01-23,2022-04-25,188,3407.5,3798767
Argentina,6,2022-04-25,2022-06-05,2022-07-08,74,209.86,333403
Argentina,7,2022-07-08,2022-08-07,2022-11-12,127,209.47,325906
Argentina,8,2022-11-12,2023-01-05,2023-03-09,117,294.84,324725
Armenia,1,2020-04-18,2020-07-04,2020-09-08,143,273.28,43752
Armenia,2,2020-09-08,2020-11-08,2021-02-12,157,971.18,123985
Armenia,3,2021-02-12,2021-04-08,2021-06-18,126,435.5,55410
Armenia,4,2021-06-18,2021-11-04,2022-01-13,209,890.64,122811
Armenia,5,2022-01-13,2022-02-12,2022-05-19,126,1334.39,76106
Armenia,6,2022-05-19,2022-09-18,2022-12-25,220,164.0,22964
Australia,1,2021-06-15,2021-10-20,2021-11-24,162,123.99,173369
Australia,2,2021-12-20,2022-01-21,2022-02-25,67,4917.36,2945322
Australia,3,2022-02-25,2022-04-07,2022-05-04,68,3082.68,2980051
Australia,4,2022-05-04,2022-05-22,2022-06-20,47,2667.75,1782351
Australia,5,2022-06-20,2022-07-28,2022-09-26,98,2456.24,2380298
Australia,6,2022-10-28,2022-12-19,2023-02-18,113,863.76,983282
Austria,1,2020-03-09,2020-04-05,2020-06-17,100,94.35,17025
Austria,2,2020-08-07,2020-11-21,2021-01-07,153,1045.86,349657
Austria,3,2021-02-13,2021-04-03,2021-07-07,144,484.92,221528
Austria,4,2021-07-07,2021-09-22,2021-10-09,94,304.28,107659
Austria,5,2021-10-09,2021-11-28,2021-12-31,83,2038.52,518531
Austria,6,2021-12-31,2022-02-12,2022-03-03,62,5181.65,1493557
Austria,7,2022-03-03,2022-03-25,2022-06-06,95,6832.5,1584232
Austria,8,2022-06-06,2022-07-24,2022-09-13,99,1800.53,713683
Austria,9,2022-09-13,2022-10-15,2022-11-20,68,2072.03,523934
Austria,10,2022-11-20,2022-12-21,2023-01-24,65,771.59,244819
Austria,11,2023-01-24,2023-03-08,2023-03-09,44,871.04,204278
Azerbaijan,1,2020-05-02,2020-07-12,2020-08-23,113,75.8,33420
Azerbaijan,2,2020-10-05,2020-12-15,2021-02-17,135,581.0,191800
Azerbaijan,3,2021-02-17,2021-04-17,2021-06-27,130,302.03,103499
Azerbaijan,4,2021-06-27,2021-09-03,2021-10-11,106,507.13,156994
Azerbaijan,5,2021-10-11,2021-11-08,2022-01-14,95,301.44,132029
Azerbaijan,6,2022-01-14,2022-02-16,2022-05-21,127,855.13,169178
Azerbaijan,7,2022-07-10,2022-09-01,2022-11-18,131,69.52,30501
"Bahamas, The",1,2020-07-10,2020-08-28,2020-09-12,64,218.95,2821
"Bahamas, The",2,2020-09-12,2020-10-23,2020-12-13,92,342.81,4845
"Bahamas, The",3,2021-03-10,2021-05-04,2021-05-22,73,200.04,2754
